UT,Altitude,OrbitalSpeed,TrueAnom,EccAnomaly,MeanAnomaly,TrueLong
10266343.50,4279707.825,129699.093,168.099,167.842,167.582,258.258
10266343.66,4279801.200,129698.773,168.130,167.873,167.614,258.289
10266343.86,4279917.581,129698.373,168.168,167.913,167.654,258.327
10266344.04,4280022.004,129698.015,168.203,167.948,167.690,258.362
10266344.22,4280126.124,129697.658,168.237,167.983,167.727,258.397
10266344.40,4280229.940,129697.302,168.272,168.019,167.763,258.431
10266344.58,4280333.452,129696.946,168.307,168.054,167.799,258.466
10266344.78,4280448.110,129696.553,168.345,168.093,167.839,258.504
10266344.94,4280539.567,129696.239,168.376,168.125,167.871,258.535
10266345.14,4280653.550,129695.848,168.414,168.164,167.911,258.573
10266345.30,4280744.466,129695.536,168.445,168.195,167.943,258.604
10266345.50,4280857.775,129695.147,168.483,168.235,167.983,258.643
10266345.66,4280948.152,129694.837,168.514,168.266,168.015,258.673
10266345.86,4281060.785,129694.450,168.553,168.305,168.055,258.712
10266346.06,4281173.043,129694.065,168.591,168.344,168.095,258.750
10266346.26,4281284.927,129693.681,168.629,168.384,168.135,258.789
10266346.42,4281374.163,129693.375,168.660,168.415,168.167,258.820
10266346.62,4281485.371,129692.993,168.699,168.454,168.208,258.858
10266346.80,4281585.138,129692.651,168.733,168.490,168.244,258.892
10266346.98,4281684.600,129692.310,168.768,168.525,168.280,258.927
10266347.18,4281794.757,129691.932,168.806,168.564,168.320,258.966
10266347.34,4281882.613,129691.630,168.837,168.596,168.352,258.996
10266347.54,4281992.094,129691.255,168.875,168.635,168.392,259.035
10266347.74,4282101.200,129690.880,168.914,168.674,168.432,259.073
10266347.92,4282199.075,129690.544,168.949,168.710,168.468,259.107
10266348.10,4282296.645,129690.210,168.983,168.745,168.504,259.142
10266348.30,4282404.699,129689.839,169.022,168.784,168.544,259.181
10266348.48,4282501.627,129689.506,169.056,168.819,168.580,259.215
10266348.66,4282598.251,129689.175,169.091,168.855,168.616,259.250
10266348.86,4282705.253,129688.807,169.129,168.894,168.657,259.288
10266349.06,4282811.880,129688.441,169.168,168.933,168.697,259.327
